t_u,U
0,0
0.02,-1.23606e-05
0.04,-3.8977160311463e-05
0.06,-6.94251767323302e-05
0.08,-0.000116585050434893
0.1,-0.000193352909771625
0.12,-0.000312554012093641
0.14,-0.000458186248455246
0.16,-0.000614246901941316
0.18,-0.000764742751390867
0.2,-0.000929037636419813
0.22,-0.00112646722792297
0.24,-0.00137632684904716
0.26,-0.00165357963128099
0.28,-0.00193319656894785
0.3,-0.00222778456707007
0.32,-0.00252933776139425
0.34,-0.00282981471432185
0.36,-0.00314561698581146
0.38,-0.00349311998001328
0.4,-0.00388866263314657
0.42,-0.00434853713476235
0.44,-0.00479175160051207
0.46,-0.00513736682488042
0.48,-0.00544048483855042
0.5,-0.00575617913550815
0.52,-0.00608863044145208
0.54,-0.00648173485139163
0.56,-0.0069793452810555
0.58,-0.00762516538372396
0.6,-0.00836157299155194
0.62,-0.00913098586472396
0.64,-0.00993155159060898
0.66,-0.0107613607296438
0.68,-0.0116185265187061
0.7,-0.0124484347552004
0.72,-0.0131965433218427
0.74,-0.0138084165487041
0.76,-0.014278980932119
0.78,-0.0145155999412345
0.8,-0.0145649921787568
0.82,-0.014473908287292
0.84,-0.0142482338639906
0.86,-0.0138939335641561
0.88,-0.0134170472560977
0.9,-0.0128236861323608
0.92,-0.0120613944526642
0.94,-0.0110778758366621
0.96,-0.00982102612047579
0.98,-0.00823896605885802
1,-0.00638479201540833
1.02,-0.00431167957768787
1.04,-0.00207288912616668
1.06,0.000331999667699174
1.08,0.00290334106630617
1.1,0.00556549263544654
1.12,0.00824283061492555
1.14,0.0108597976439012
1.16,0.0133409503963486
1.18,0.0156110070966663
1.2,0.0175948948855448
1.22,0.0192177970063461
1.24,0.02064950294222
1.26,0.0220597130600709
1.28,0.0236180100024955
1.3,0.0254937125219332
1.32,0.0278557296282882
1.34,0.0308725328026475
1.36,0.0343730691449755
1.38,0.0381861914514497
1.4,0.0423205129303566
1.42,0.0467844745706475
1.44,0.0515863007655875
1.46,0.0567164236500167
1.48,0.0621650777066523
1.5,0.067940739664321
1.52,0.0740516320618104
1.54,0.0806156527729976
1.56,0.0874222958810183
1.58,0.0942610745894541
1.6,0.100921732531865
1.62,0.107194337062659
1.64,0.112869372249854
1.66,0.117737949172154
1.68,0.121591897948024
1.7,0.124502637009325
1.72,0.126542147730143
1.74,0.12778288919633
1.76,0.128297712759088
1.78,0.128159894087607
1.8,0.127308168698119
1.82,0.125681745161372
1.84,0.123459312208177
1.86,0.120819755305088
1.88,0.117942004299362
1.9,0.11500499884984
1.92,0.11218753622552
1.94,0.109668158567234
1.96,0.107625001203399
1.98,0.106235759035875
2,0.105677535576787
2.02,0.106126692510421
2.04,0.107758817535462
2.06,0.110302718859124
2.08,0.113486901544954
2.1,0.117039778442613
2.12,0.120689763303063
2.14,0.124165481460493
2.16,0.127195940948674
2.18,0.129510703203767
2.2,0.130840053246227
2.22,0.130915169234878
2.24,0.129997765144158
2.26,0.128349957812376
2.28,0.126234022612192
2.3,0.123912266927372
2.32,0.121646864516179
2.34,0.119699690125558
2.36,0.118332154460275
2.38,0.117805078831144
2.4,0.118378452640441
2.42,0.118893025324365
2.44,0.118190748262736
2.46,0.116536808625328
2.48,0.114196688720464
2.5,0.111436076530135
2.52,0.108520658544311
2.54,0.10571595202464
2.56,0.102775391255266
2.58,0.0994527440405559
2.6,0.0955023060458378
2.62,0.0906789769487539
2.64,0.0850591188497794
2.66,0.0787195592191856
2.68,0.0717970390988427
2.7,0.0644285301773189
2.72,0.0567511480827848
2.74,0.0489020656721662
2.76,0.0410184263712944
2.78,0.0332372576207135
2.8,0.0254649260827097
2.82,0.0176079261437991
2.84,0.00957286037940344
2.86,0.00128614777357564
2.88,-0.00732555988104307
2.9,-0.0163352926894024
2.92,-0.0255568629811965
2.94,-0.0348041364274304
2.96,-0.0438911495003745
2.98,-0.0526321874873748
3,-0.0611917464382233
3.02,-0.0697343109111051
3.04,-0.0784241716983308
3.06,-0.0870955189153834
3.08,-0.0955827209725852
3.1,-0.103720389745068
3.12,-0.111343563184406
3.14,-0.11828776981691
3.16,-0.124706581080409
3.18,-0.13075374580516
3.2,-0.136583092968227
3.22,-0.142348395274689
3.24,-0.147768985907795
3.26,-0.152564697695445
3.28,-0.156456039488145
3.3,-0.159755147096944
3.32,-0.162774177376666
3.34,-0.16582518956906
3.36,-0.169219869945656
3.38,-0.173269413843922
3.4,-0.177687946026446
3.42,-0.182189645548484
3.44,-0.186488926152838
3.46,-0.190300616335311
3.48,-0.193883889008793
3.5,-0.197497840096835
3.52,-0.201401285813788
3.54,-0.205852599545517
3.56,-0.21061200062877
3.58,-0.215439754825954
3.6,-0.22009636485195
3.62,-0.224651071226039
3.64,-0.229173109229894
3.66,-0.233731704422304
3.68,-0.238395950503698
3.7,-0.242984265862218
3.72,-0.247315338498227
3.74,-0.251208201002149
3.76,-0.254777477109859
3.78,-0.258137879674952
3.8,-0.26134322905294
3.82,-0.264447389411265
3.84,-0.267504273899096
3.86,-0.270299857568597
3.88,-0.272620534714428
3.9,-0.274253174869173
3.92,-0.274985296103327
3.94,-0.274980379774754
3.96,-0.274402208293829
3.98,-0.273414722198709
4,-0.272181994935231
4.02,-0.270868089917388
4.04,-0.26934543257419
4.06,-0.267486708315296
4.08,-0.265376771411491
4.1,-0.263100588691808
4.12,-0.260743107347124
4.14,-0.258166155554595
4.16,-0.255231838886941
4.18,-0.251802627091627
4.2,-0.247741440552914
4.22,-0.242911736382542
4.24,-0.237177594085044
4.26,-0.23040380074405
4.28,-0.222779699135001
4.3,-0.214494978612211
4.32,-0.205739555002644
4.34,-0.19670345047741
4.36,-0.187576673476807
4.38,-0.178549137984993
4.4,-0.169810465284524
4.42,-0.161549903755761
4.44,-0.153578204658085
4.46,-0.14570612703924
4.48,-0.137744557202387
4.5,-0.129905655394406
4.52,-0.122401291237681
4.54,-0.115442910260921
4.56,-0.109241440052119
4.58,-0.104007079171945
4.6,-0.0993789022255063
4.62,-0.0949959637708489
4.64,-0.090497565437721
4.66,-0.0855234049610914
4.68,-0.0797138424756995
4.7,-0.073593642281281
4.72,-0.067687237509184
4.74,-0.0618095711368389
4.76,-0.055775753944195
4.78,-0.0494011810725796
4.8,-0.0425016482869102
4.82,-0.0348934678681574
4.84,-0.0263935840632626
4.86,-0.0168196880200671
4.88,-0.00662311222524303
4.9,0.00374487121451086
4.92,0.0138332961964432
4.94,0.0231918654665859
4.96,0.03195910710003
4.98,0.0402737833054376
5,0.0482747633637348
5.02,0.0561010142877339
5.04,0.0635048794121011
5.06,0.0702391783656944
5.08,0.0760574410877493
5.1,0.0811042653426769
5.12,0.0855246298605856
5.14,0.089463763203714
5.16,0.0930670126068986
5.18,0.0964798305357671
5.2,0.09956753225043
5.22,0.102195773600846
5.24,0.104230635501073
5.26,0.10579222797727
5.28,0.107000839161145
5.3,0.107976859168613
5.32,0.108840703990543
5.34,0.109712739443645
5.36,0.110340573294697
5.38,0.110472181868651
5.4,0.109856147230831
5.42,0.108762856803793
5.44,0.107462727632971
5.46,0.106226074852821
5.48,0.105322862688614
5.5,0.10463888153548
5.52,0.104059898138165
5.54,0.103471727734506
5.56,0.102760306095812
5.58,0.102064143957461
5.6,0.101521642464997
5.62,0.101270927465877
5.64,0.101449841022647
5.66,0.102195776232685
5.68,0.103645669378503
5.7,0.105608502988454
5.72,0.107893127687656
5.74,0.110308422230553
5.76,0.112663335694052
5.78,0.115021312357147
5.8,0.117445691595533
5.82,0.11999974643907
5.84,0.122639493871199
5.86,0.125320980189049
5.88,0.128034508812762
5.9,0.130770333455858
5.92,0.133322209917132
5.94,0.135717931046542
5.96,0.137938766654903
5.98,0.139966115784969
6,0.141886628690824
6.02,0.143786975229967
6.04,0.145753750905403
6.06,0.147873383049105
6.08,0.149992322819486
6.1,0.151957176098666
6.12,0.153614800180427
6.14,0.155078549061301
6.16,0.156461746019573
6.18,0.1578776905415
6.2,0.159214383934336
6.22,0.16036002929662
6.24,0.161376651661341
6.26,0.162326255975202
6.28,0.163270827193048
6.3,0.164272291164541
6.32,0.165392514817731
6.34,0.166478810636964
6.36,0.167378665947612
6.38,0.168154138668585
6.4,0.168867302890084
6.42,0.169481570649043
6.44,0.169960453183176
6.46,0.170312098892328
6.48,0.170544689097868
6.5,0.170666472064722
6.52,0.170701328180101
6.54,0.170673129495978
6.56,0.170523048303813
6.58,0.170192392954397
6.6,0.169622644775364
6.62,0.16875549484241
6.64,0.167663444912345
6.66,0.166419065879646
6.68,0.165094951890275
6.7,0.163763674486916
6.72,0.162276416742172
6.74,0.160645099146008
6.76,0.158881721160993
6.78,0.156998353567234
6.8,0.154985912595401
6.82,0.15283540509242
6.84,0.150617708169316
6.86,0.148403670138661
6.88,0.14626406581432
6.9,0.144269551902524
6.92,0.142490622512327
6.94,0.140997604033709
6.96,0.139660587449176
6.98,0.138349695784593
7,0.136935205293449
7.02,0.135287548761771
7.04,0.133486598155561
7.06,0.13161224196538
7.08,0.12974433475315
7.1,0.127726148448108
7.12,0.125401246557663
7.14,0.122852904822161
7.16,0.120164456372025
7.18,0.117419239058762
7.2,0.114700542835929
7.22,0.112091557223202
7.24,0.109495650757694
7.26,0.1068162808149
7.28,0.103957054470395
7.3,0.100975218963663
7.32,0.0978617983570311
7.34,0.0946079088064808
7.36,0.0912664575872676
7.38,0.0878903933144111
7.4,0.0845326332524336
7.42,0.0812460299382155
7.44,0.0779836399119185
7.46,0.0746985515959551
7.48,0.0713439148799833
7.5,0.0680464027408847
7.52,0.0649325248090753
7.54,0.0619394274445739
7.56,0.0590042831300285
7.58,0.056064251669254
7.6,0.0530565983139062
7.62,0.0500034098612158
7.64,0.0469267796635055
7.66,0.0438487936732453
7.68,0.0407915557270873
7.7,0.037814354403794
7.72,0.0349763681785844
7.74,0.0323366281721849
7.76,0.0298503610354324
7.78,0.0274727807347627
7.8,0.0253533749152928
7.82,0.0234410592421211
7.84,0.0216846307460926
7.86,0.0200328394896349
7.88,0.0184344601902369
7.9,0.0168382460955379
7.92,0.0151930005791736
7.94,0.0134476486330376
7.96,0.0115511905500664
7.98,0.00945281248716754
8,0.00725503435464494
8.02,0.00506033580530252
8.04,0.00297109157566391
8.06,0.000894189935443223
8.08,-0.00126339507888998
8.1,-0.00359454501952546
8.12,-0.00619193853282563
8.14,-0.00900923168078908
8.16,-0.0119999882611658
8.18,-0.015117709217073
8.2,-0.0183544155976189
8.22,-0.0217020613492574
8.24,-0.0251525384629865
8.26,-0.0287111347134971
8.28,-0.0323831035229382
8.3,-0.0361735822381806
8.32,-0.039990283475145
8.34,-0.0437409568049957
8.36,-0.047333525398719
8.38,-0.0507750575448507
8.4,-0.0540596886497632
8.42,-0.0571816982903704
8.44,-0.0601629678807954
8.46,-0.0630254457030648
8.48,-0.065791172203435
8.5,-0.0684821875442575
8.52,-0.0710704333846037
8.54,-0.0735279444589175
8.56,-0.07599629777338
8.58,-0.0786169604521231
8.6,-0.0815311220935902
8.62,-0.0848796843517019
8.64,-0.0888030938281377
8.66,-0.0931758501868277
8.68,-0.0978722562852647
8.7,-0.102766536949841
8.72,-0.107732918460818
8.74,-0.11264570795651
8.76,-0.117498916137552
8.78,-0.122286597338564
8.8,-0.12700281401774
8.82,-0.131401847670299
8.84,-0.135238466160315
8.86,-0.138267999615637
8.88,-0.140734865330116
8.9,-0.142883629459425
8.92,-0.144958813247454
8.94,-0.14720473869604
8.96,-0.149865374515571
8.98,-0.152757112762057
9,-0.155696384078019
9.02,-0.158808123434352
9.04,-0.162217031381204
9.06,-0.16538216262822
9.08,-0.167763269334681
9.1,-0.169496279485968
9.12,-0.170717432874236
9.14,-0.171563116331274
9.16,-0.172169816694945
9.18,-0.172524173827671
9.2,-0.172613000329906
9.22,-0.172572483659195
9.24,-0.172538756090478
9.26,-0.172647808826149
9.28,-0.173035367061195
9.3,-0.17383688300267
9.32,-0.174760184835174
9.34,-0.175513278210618
9.36,-0.175804608857412
9.38,-0.175343206987082
9.4,-0.174532481160285
9.42,-0.173775694352448
9.44,-0.172970787546542
9.46,-0.172015873875143
9.48,-0.170809224331869
9.5,-0.16924937105836
9.52,-0.167235210362618
9.54,-0.164904525520881
9.56,-0.162395161197635
9.58,-0.159844936357441
9.6,-0.157391557280505
9.62,-0.155172530736785
9.64,-0.153054771164023
9.66,-0.150905262791324
9.68,-0.148591143546851
9.7,-0.145979788784175
9.72,-0.142938894774599
9.74,-0.139545331493947
9.76,-0.13587607511173
9.78,-0.132008237727086
9.8,-0.128018940107881
9.82,-0.123985341433343
9.84,-0.119865203992227
9.86,-0.11578985847289
9.88,-0.111890475323199
9.9,-0.107915192109975
9.92,-0.103612447391109
9.94,-0.0990897303057244
9.96,-0.0944545608641325
9.98,-0.0898143828151314
10,-0.0851537363950358
10.02,-0.0805626144247019
10.04,-0.0761308754064064
10.06,-0.0717477320473959
10.08,-0.0673024776942417
10.1,-0.062684595365343
10.12,-0.0577837488932688
10.14,-0.0524899308429888
10.16,-0.046693453192791
10.18,-0.0405419091350364
10.2,-0.0341829285061645
10.22,-0.0277641629862173
10.24,-0.0214331536385867
10.26,-0.0153372378729802
10.28,-0.00939574365147264
10.3,-0.00352802172397163
10.32,0.00216126606827507
10.34,0.00756767570084881
10.36,0.0125870466867089
10.38,0.0171155675516977
10.4,0.0213796836269342
10.42,0.0256057404185621
10.44,0.0300199192482566
10.46,0.0345332341676102
10.48,0.0390566868331035
10.5,0.0435014011471083
10.52,0.0477786008052818
10.54,0.0518925781009932
10.56,0.0558477240630676
10.58,0.0596485255843553
10.6,0.0632309269926296
10.62,0.0665310748632423
10.64,0.0694853581289554
10.66,0.0720304479964613
10.68,0.0743023021541135
10.7,0.0764369141832631
10.72,0.0785702276643679
10.74,0.0806251234697243
10.76,0.0825246486895742
10.78,0.0841919866077613
10.8,0.0857428805636703
10.82,0.0872930703329556
10.84,0.0889581406197083
10.86,0.0908535266799054
10.88,0.0928461379640059
10.9,0.0948029562705484
10.92,0.0965911196528127
10.94,0.0980780453628074
10.96,0.0993576574427121
10.98,0.100523916444234
11,0.101670760071118
11.02,0.102892043895726
11.04,0.104073693113214
11.06,0.105101772564431
11.08,0.10586251930684
11.1,0.106242492704834
11.12,0.106283801175554
11.14,0.106028724637227
11.16,0.105519687643944
11.18,0.104799193235843
11.2,0.10390987446706
11.22,0.102727506602879
11.24,0.101128135522717
11.26,0.0989881949253588
11.28,0.0963930005496852
11.3,0.0934280306073541
11.32,0.090178950094532
11.34,0.0867315173004163
11.36,0.0831714903507976
11.38,0.0795846515064893
11.4,0.0760566745409606
11.42,0.0726731492008648
11.44,0.0695194880341814
11.46,0.0666808334238496
11.48,0.0642420825462377
11.5,0.0622170806233061
11.52,0.0606194369703955
11.54,0.059462438200626
11.56,0.0587590793811012
11.58,0.058666465213657
11.6,0.0593411177344171
11.62,0.0605938964477358
11.64,0.0622354859145529
11.66,0.0640765154500824
11.68,0.0659276787361077
11.7,0.0675998532724528
11.72,0.0689042195923761
11.74,0.0698666405878268
11.76,0.0705131298261662
11.78,0.0708698741957186
11.8,0.0708389281133651
11.82,0.0703226499553288
11.84,0.0692238418371296
11.86,0.0676049272315898
11.88,0.0655285952507848
11.9,0.0630577608011508
11.92,0.060255524636076
11.94,0.0571038688992578
11.96,0.0535850144404401
11.98,0.0496814318002018
12,0.0455069262209915
12.02,0.0411753988572822
12.04,0.0368006963285743
12.06,0.0324966173391432
12.08,0.0283898620156776
12.1,0.0244273673503953
12.12,0.0205559933560421
12.14,0.0167226351330703
12.16,0.0129621098015328
12.18,0.00930915351495702
12.2,0.00589884276323522
12.22,0.00262644683461966
12.24,-0.000612746819515719
12.26,-0.00365423689327642
12.28,-0.00654748430676501
12.3,-0.00934203309293711
12.32,-0.011995782007045
12.34,-0.0145655961201307
12.36,-0.0171083755764121
12.38,-0.019680941194284
12.4,-0.0223400378932068
12.42,-0.0250390711527314
12.44,-0.0277314680573543
12.46,-0.0303707066780295
12.48,-0.0330062782108736
12.5,-0.0356876264381919
12.52,-0.0384641165604148
12.54,-0.0413850041089623
12.56,-0.0443617407566577
12.58,-0.0473058318904672
12.6,-0.0501288924274815
12.62,-0.0527427025056617
12.64,-0.0551779043786637
12.66,-0.0574652614929808
12.68,-0.0596355605034851
12.7,-0.0617196702539139
12.72,-0.0636668263504487
12.74,-0.0654264410918068
12.76,-0.0669480960093195
12.78,-0.0681952614076689
12.8,-0.0691316175922243
12.82,-0.0697211168082973
12.84,-0.069927927285618
12.86,-0.0697164948635321
12.88,-0.0692151137502385
12.9,-0.0685521715190488
12.92,-0.0678559895181329
12.94,-0.0672547811432903
12.96,-0.0667842464478988
12.98,-0.0664799278943006
13,-0.0662585074882355
13.02,-0.0660366986170495
13.04,-0.065731337820397
13.06,-0.0652593587301223
13.08,-0.0645378836358867
13.1,-0.0637836832806916
13.12,-0.063213370476268
13.14,-0.0626815740309705
13.16,-0.0620430445059772
13.18,-0.0611527065740599
13.2,-0.0601774340468365
13.22,-0.0592840259030214
13.24,-0.0586390226166239
13.26,-0.0584086404937615
13.28,-0.0584254515122272
13.3,-0.0585220398199981
13.32,-0.0585310681985989
13.34,-0.0585506696430302
13.36,-0.058678832648353
13.38,-0.0589077584818909
13.4,-0.0592295926318341
13.42,-0.0595863847375365
13.44,-0.0599202205968771
13.46,-0.0602293044816398
13.48,-0.060414513345618
13.5,-0.0603769019488217
13.52,-0.0600177651466411
13.54,-0.0592386999648408
13.56,-0.0579416674214096
13.58,-0.0562831622877605
13.6,-0.0544197110795003
13.62,-0.0525078124237852
13.64,-0.0507038775042024
13.66,-0.0491640529598419
13.68,-0.0480442010104809
13.7,-0.0471998445954354
13.72,-0.0464864778946166
13.74,-0.0457596575893482
13.76,-0.0450158163772389
13.78,-0.0442514405065589
13.8,-0.0432436736623978
13.82,-0.0423952084733022
13.84,-0.0417256777002882
13.86,-0.0412546206295914
13.88,-0.041001392390139
13.9,-0.0409852303595472
13.92,-0.0412251636965928
13.94,-0.0415449198353715
13.96,-0.0417683529343456
13.98,-0.0417195549564569
14,-0.0412229664874915
14.02,-0.0401034480027093
14.04,-0.0384659129934855
14.06,-0.0364154965768116
14.08,-0.0340574888968807
14.1,-0.0314972684957154
14.12,-0.0288402356949379
14.14,-0.0261917460307272
14.16,-0.0236570437839359
14.18,-0.0211436430679931
14.2,-0.0185591374781187
14.22,-0.0158112975713587
14.24,-0.0128080504760926
14.26,-0.00966944506757305
14.28,-0.0065155342724359
14.3,-0.00346622083016283
14.32,-0.000464690459110194
14.34,0.00254588342263795
14.36,0.00553868615898237
14.38,0.00848694125690071
14.4,0.0113639272531008
14.42,0.0141430337492698
14.44,0.0167451052568725
14.46,0.0190911775919695
14.48,0.0211025275360306
14.5,0.022962164719423
14.52,0.0248529714452439
14.54,0.0267775270250275
14.56,0.0287384260919784
14.58,0.0308860589841333
14.6,0.0331118108096046
14.62,0.0353071264938458
14.64,0.0373635792544191
14.66,0.0391729389259626
14.68,0.0406272400923727
14.7,0.0419856380955674
14.72,0.0435071276445239
14.74,0.0450809635923231
14.76,0.0465964398007551
14.78,0.0479430374346126
14.8,0.0492787220822915
14.82,0.0507612682771306
14.84,0.052548238521003
14.86,0.0545732107327338
14.88,0.0567696793128309
14.9,0.0590710972148725
14.92,0.0614109180007884
14.94,0.0637226378534998
14.96,0.065939837520436
14.98,0.0679962241615179
15,0.0699644344462106
15.02,0.0719171269476328
15.04,0.0739268578079066
15.06,0.0759099775167425
15.08,0.0777829374158756
15.1,0.0794623423451163
15.12,0.0808650031385931
15.14,0.0820913045537163
15.16,0.0832416418230928
15.18,0.084416396481027
15.2,0.0855445587945879
15.22,0.0865552590175218
15.24,0.0875504596901113
15.26,0.088631991465371
15.28,0.0899015673926461
15.3,0.0913005823938831
15.32,0.0927704085579592
15.34,0.0943739758431041
15.36,0.0961740273191886
15.38,0.0982331581840393
15.4,0.100423518787239
15.42,0.102617305092053
15.44,0.104686839317051
15.46,0.106504650417004
15.48,0.107943554352376
15.5,0.109126567317106
15.52,0.11017674345142
15.54,0.111217097115034
15.56,0.112190190389756
15.58,0.113038646314987
15.6,0.113705263491259
15.62,0.114132973576639
15.64,0.114264955622976
15.66,0.114176373420002
15.68,0.113942454482976
15.7,0.113638442494709
